id,device_id,product_name,product_sku,category_name,amount,status,card_number,cvv,created_at,happened_at
1,169,libero. Morbi,3770009015048,"amet,",749,cancelled,201433236787273,714,2022-10-16 03:52:35,2022-05-15 08:10:46
2,9,"hendrerit a,",3770009015049,magna,235,refused,3477 282862 44521,146,2023-02-22 09:02:54,2022-08-15 09:06:29
3,25,neque vitae,3770009015074,"montes,",304,accepted,4556596815473496,562,2023-02-27 06:21:32,2022-01-26 06:50:55
4,89,Sed eu,3770009015042,erat,141,accepted,3628 676867 82399,891,2023-01-01 03:10:04,2022-10-09 07:59:34
5,40,dolor. Nulla,3770009015049,Etiam,549,cancelled,4903871164699481227,345,2022-10-09 03:20:39,2021-10-23 10:12:44
6,44,vel pede,3770009015050,dictum,873,refused,417500 6777547247,620,2022-12-22 09:37:12,2022-10-21 08:27:40
7,59,et netus,3770009015073,ac,638,accepted,4917 5692 1425 2575,574,2022-12-13 01:09:03,2021-10-07 05:02:09
8,4,consequat dolor,3770009015075,vel,710,accepted,201488866595370,659,2023-01-24 06:45:50,2022-11-27 01:46:14
9,111,posuere cubilia,3770009015047,massa.,262,accepted,6761 5556 6164 5640,912,2022-11-17 01:53:23,2021-12-09 06:00:36
10,159,Donec fringilla.,3770009015172,Morbi,613,accepted,4917888266638667,557,2022-12-25 11:28:15,2023-02-10 03:26:15
11,29,"malesuada vel,",3770009015172,Duis,386,refused,490548 536296 8884,720,2022-11-21 07:59:22,2022-09-26 05:56:42
12,142,augue. Sed,3770009015046,rutrum,518,refused,490 52527 86635 345,391,2022-10-06 11:05:38,2023-01-15 06:45:43
13,69,"dapibus rutrum,",3770009015233,Maecenas,148,cancelled,214942256866424,763,2022-10-01 05:18:14,2022-11-21 10:00:53
14,33,lobortis quam,3770009015052,quam,405,cancelled,5513568664743446,141,2022-12-05 05:31:07,2022-12-30 06:59:28
15,141,sed dolor.,3770009015052,"ornare,",748,accepted,302314358848169,238,2023-02-15 03:02:02,2023-01-18 11:09:04
16,81,felis ullamcorper,3770009015233,adipiscing,509,cancelled,2149 766434 95448,589,2023-01-06 07:59:02,2021-10-25 11:49:45
17,62,amet ante.,3770009015047,sit,884,refused,201413894286321,907,2023-02-03 06:27:21,2022-02-16 04:36:32
18,160,vitae nibh.,3770009015235,ultrices,707,cancelled,519 33246 38784 745,825,2022-10-12 08:17:13,2022-09-25 07:31:09
19,196,Vestibulum ut,3770009015075,Cras,571,cancelled,417500 7864623941,575,2022-10-15 12:31:41,2022-10-25 02:02:21
20,128,tristique senectus,3770009015048,lorem,547,cancelled,305628522272734,944,2023-02-22 01:09:25,2022-03-20 07:32:39
21,186,ullamcorper magna.,3770009015052,semper,883,accepted,677 12765 73384 289,621,2022-11-28 05:03:56,2022-07-03 12:05:35
22,138,"ultricies ornare,",3770009015051,In,329,accepted,633476 273252 4733,894,2023-01-02 05:59:03,2022-09-21 04:01:37
23,82,amet ultricies,3770009015074,Morbi,660,accepted,2149 744942 47596,681,2022-12-12 04:48:34,2021-11-18 04:47:59
24,151,faucibus. Morbi,3770009015172,mauris,794,refused,342568624727125,847,2022-12-08 07:32:33,2022-07-30 12:24:58
25,111,"nec, mollis",3770009015233,Mauris,861,refused,565224 883374 9522,419,2022-11-23 06:35:26,2022-03-05 12:30:01
26,32,est ac,v3770009015028,risus.,736,refused,300362885667380,375,2022-10-21 01:05:03,2022-04-30 08:39:10
27,75,augue ut,3770009015052,eros,490,accepted,633482885596497547,600,2023-01-07 09:37:23,2022-06-09 12:35:07
